Letter,Model name,SAF (NH),SAF (global),Reference
A,ACCESS1.0,0.41,0.08,Collier and Uhe (2012)
B,BCC-CSM1.1,0.31,0.06,Wu et al. (2010)
C,CCSM4,0.42,0.08,Gent et al. (2011)
D,CNRM-CM5,0.44,0.08,Voldoire et al. (2012)
E,CSIRO-Mk3.6.0,0.41,0.03,Rodstayn et al. (2010)
F,CanESM2,0.40,0.07,Chylek et al. (2011)
G,FGOALS-g2,0.48,0.10,Yu et al. (2011)
H,FGOALS-s2,0.54,0.06,Bao et al. (2013)
I,GFDL-CM3,0.54,0.11,Donner et al. (2011)
J,GFDL-ESM2G,0.24,0.05,Dunne et al. (2012)
K,GFDL-ESM2M,0.24,0.04,Dunne et al. (2012)
L,GISS-E2-R,0.48,0.09,http://www.giss.nasa.gov
M,HadGEM2-CC,0.43,0.09,Martin et al. (2011)
N,HadGEM2-ES,0.43,0.08,Martin et al. (2011)
O,INM-CM4,0.56,0.10,Volodin et al. (2010)
P,IPSL-CM5A-LR,0.28,0.05,Dufresne et al. (2013)
Q,IPSL-CM5A-MR,0.26,0.05,Dufresne et al. (2013)
R,IPSL-CM5B-LR,0.22,0.05,Dufresne et al. (2013)
S,MIROC-ESM,0.77,0.16,Watanabe et al. (2011)
T,MIROC-ESM-CHEM,0.78,0.16,Watanabe et al. (2011)
U,MIROC5,0.52,0.12,Watanabe et al. (2011)
V,MPI-ESM-LR,0.47,0.08,Brovkin et al. (2013)
W,MPI-ESM-MR,0.42,0.08,Brovkin et al. (2013)
X,MRI-CGCM3,0.29,0.05,Yukimoto et al. (2011)
Y,NorESM1-M,0.42,0.10,Bentsen et al. (2012)
